PROJECT_ID,MANAGED_BY,PRODUCT_GROUP,FULFILL_VIA,PQ_FIRST_SENT_TO_CLIENT_DATE,SUB_CLASSIFICATION
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
144-BW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
106-HT-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-KE-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
133-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
107-RW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
102-BW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
119-NA-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
119-NA-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
100-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
106-HT-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
113-ZW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
107-RW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
107-RW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
102-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
102-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
107-RW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
102-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
107-RW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
100-KZ-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
123-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
102-BW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
110-ZM-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
110-ZM-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test - Ancillary
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test - Ancillary
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-BW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
107-RW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
113-ZW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test - Ancillary
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test - Ancillary
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
102-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test - Ancillary
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
106-HT-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
107-RW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
107-RW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
110-ZM-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test - Ancillary
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
133-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test - Ancillary
133-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
102-GY-T01,PMO - US,MRDT,Direct Drop,Pre-PQ Process,Malaria
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
113-ZW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
133-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
141-NA-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
119-NA-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
131-NG-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
106-HT-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
106-HT-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
111-MZ-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
114-UG-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
107-RW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
102-KE-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-KE-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
123-NG-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
107-RW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
119-NA-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
119-NA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
105-GY-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
106-HT-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
112-NG-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
110-ZM-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
106-HT-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
109-TZ-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
109-TZ-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
119-NA-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
117-ET-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
114-UG-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
107-RW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
100-HT-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
100-HT-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
102-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test - Ancillary
110-ZM-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
114-UG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
102-BW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-BW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test - Ancillary
102-BW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
